DATA DO ENVIO,PROTOCOLO,MUNICÍPIO,PRESTADORA,TIPO,NATUREZA,COMUNICAÇÃO,ÁREAS AFETADAS,DIA INICIAL,DIA PREVISTO PARA TÉRMINO,ESTRUTURA,RESPONSÁVEL,MOTIVO DO CANCELAMENTO
"13 de mar. de 2026, 08:16:29",BRK00003718,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (13/03/2026),Gruta de Lourdes,12-03-2026,13-03-2026,Elevatória de Esgoto R-5,BRK," "
"13 de mar. de 2026, 07:55:02",CASAL00003376,RIO LARGO,CASAL,Emergencial,Pedido,Divulgado pela ASCOM,Rio Largo,12-03-2026,,EEabc Jarbas Oiticica,BRK," "
"13 de mar. de 2026, 07:54:46",CASAL00003375,SÃO JOSÉ DA TAPERA,CASAL,Programada,Adutora,Divulgado pela ASCOM,São José da Tapera,21-03-2026,21-03-2026,Outros,CASAL," "
"13 de mar. de 2026, 07:54:29",CASAL00003374,SÃO JOSÉ DA TAPERA,CASAL,Programada,Adutora,Divulgado pela ASCOM,São José da Tapera,21-03-2026,21-03-2026,Outros,CASAL," "
"13 de mar. de 2026, 07:54:12",CASAL00003373,SÃO JOSÉ DA TAPERA,CASAL,Programada,Adutora,Divulgado pela ASCOM,São José da Tapera,21-03-2026,21-03-2026,Outros,CASAL," "
"13 de mar. de 2026, 07:54:00",CASAL00003372,ANADIA,CASAL,Emergencial,Mecanico,Divulgado pela ASCOM,Anadia,11-03-2026,12-03-2026,EEabc Anadia,CASAL," "
"13 de mar. de 2026, 07:53:47",CASAL00003371,RIO LARGO,CASAL,Emergencial,Energia,Divulgado pela ASCOM,Rio Largo,12-03-2026,12-03-2026,ETA Tabuleiro do Pinto,CASAL," "
"13 de mar. de 2026, 07:53:27",CASAL00003370,MACEIÓ,CASAL,Emergencial,Eletromecanico,Divulgado pela ASCOM,Maceió,09-03-2026,,P-Mac-Cc-01,CASAL," "
"13 de mar. de 2026, 07:53:12",CASAL00003369,MACEIÓ,CASAL,Emergencial,Recuperacao,Divulgado pela ASCOM,Maceió,12-03-2026,12-03-2026,EEAT Benedito Bentes,BRK," "
"13 de mar. de 2026, 07:52:38",CASAL00003368,MAR VERMELHO,CASAL,Emergencial,Rede,Divulgado pela ASCOM,,12-03-2026,,EEab Mar Vermelho,CASAL," "
"13 de mar. de 2026, 07:52:20",CASAL00003367,CAPELA,CASAL,Emergencial,Energia,Divulgado pela ASCOM,Capela,12-03-2026,12-03-2026,EEab Capela,CASAL," "
"13 de mar. de 2026, 07:52:07",CASAL00003366,PASSO DE CAMARAGIBE,CASAL,Emergencial,Tratamento,Divulgado pela ASCOM,Passo de Camaragibe,12-03-2026,,ETA-Passo de Camaragibe,CASAL," "
"13 de mar. de 2026, 07:42:46",ADS00000963,DELMIRO GOUVEIA,ADS,Emergencial,Eletromecânica - Falha em CMB,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,"Delmiro Gouveia - Jardim cordeiro, Delmiro Gouveia - Vila Szebu e Pariconha - Caraibeiras dos Teodosios",2026-03-13,2026-03-13,Captação Barragem Leste,Casal," "
"13 de mar. de 2026, 01:17:25",BRK00003717,MACEIÓ,BRK,Emergencial,À Apoio A Obras,A comunicação de paralisação emergencial foi realizada nesta data (13/03/2026),"Centro, Farol, Poço, Ponta da Terra, Pajuçara, Ponta Verde, Jacarecica, Cruz das Almas, Jatiúca, Mangabeiras e Guaxuma",13-03-2026,13-03-2026,EEe Jacarecica / EEe Cruz Das Almas / EEe Santo Eduardo / EEe Praça 13 de Maio / EEe Praça Lions Ii / EEe Salgadinho,BRK," "
"13 de mar. de 2026, 00:12:38",BRK00003716,MACEIÓ,BRK,Emergencial,Falta de Energia Elétrica,A comunicação de paralisação emergencial foi realizada nesta data (12/03/2026),Gruta de Lourdes,12-03-2026,12-03-2026,Elevatória de Esgoto R-5,BRK," "
"12 de mar. de 2026, 23:58:34",BRK00003715,BARRA DE SANTO ANTÔNIO,BRK,Emergencial,Falta de Energia Elétrica,A comunicação de paralisação emergencial foi realizada nesta data (12/03/2026),Tabuba e Pov. Santa Luzia,12-03-2026,13-03-2026,Poço Bsa 19,EQUATORIAL," "
"12 de mar. de 2026, 19:11:04",ADS00000962,INHAPI,ADS,Emergencial,Eletromecânica - Manutenção,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Inhapi - Urbana e Inhapi - Promissão,2026-03-12,2026-03-12,Booster,Águas do Sertão," "
"12 de mar. de 2026, 18:00:39",BRK00003714,MACEIÓ,BRK,Programada,Interligação de Rede Nova Com Antiga,A comunicação foi realizada nesta data   12/03/2026,FAROL e PINHEIRO,20-03-2026,21-03-2026,Rg Cônego Machado; Registro Pinheiro,BRK Jessiara Ferreira Controle e Redução de Perdas – RMM BRK Ambiental | Unidade Alagoas [Ícone  Descrição gerada automaticamente]+55 (82) 98157-1436," "
"12 de mar. de 2026, 17:47:10",BRK00003713,MARECHAL DEODORO,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (12/03/2026),Conj. Hab. Denisson Amorim,12-03-2026,13-03-2026,Poço Md 20,BRK," "
"12 de mar. de 2026, 17:43:36",BRK00003712,RIO LARGO,BRK,Emergencial,Manutenção Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (12/03/2026),Jarbas Oiticica e Antônio Lins,12-03-2026,12-03-206,Captação Jarbas Oiticica,BRK," "
"12 de mar. de 2026, 17:12:11",BRK00003711,MACEIÓ,BRK,Emergencial,À Troca de Registro,A comunicação de paralisação emergencial foi realizada nesta data (12/03/2026),CONJ. Carajás,12-03-2026,13-03-2026,Poço P-Cc 01,BRK," "
"12 de mar. de 2026, 17:02:30",BRK00003710,MARECHAL DEODORO,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (12/03/2026),Pov. Tuquanduba,12-03-2026,12-03-2026,Poço Md 16 e 37,BRK," "
"12 de mar. de 2026, 16:48:25",ADS00000961,DELMIRO GOUVEIA,ADS,Programada,Eletromecânica - Manutenção,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,"Delmiro Gouveia - Urbana, Delmiro Gouveia - Alagoinhas, Delmiro Gouveia - Rabeca e Delmiro Gouveia - Salgado",2026-03-18,2026-03-18,EEAT-03,Águas do Sertão," "
"12 de mar. de 2026, 16:00:35",BRK00003709,BARRA DE SANTO ANTÔNIO,BRK,Emergencial,Falta de Energia Elétrica,A comunicação de paralisação emergencial foi realizada nesta data (12/03/2026),Centro,12-03-2026,12-03-206,Poço Bsa 19,EQUATORIAL," "
"12 de mar. de 2026, 15:44:56",BRK00003708,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (12/03/2026),CONJ. Gama Lins e Cidade Universitária,12-12-2025,15-03-2026,Poço P-Gl 02,CASAL," "
"12 de mar. de 2026, 15:07:26",BRK00003707,MARECHAL DEODORO,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (12/03/2026),LUAR DO FRANCÊS e MUCURI E FRANCÊS,11-03-2026,12-03-2026,Poços Francês e Mucuri,BRK," "
"12 de mar. de 2026, 14:16:24",ADS00000960,IGACI,ADS,Emergencial,Eletromecânica - Falta de Fase,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Igaci - Urbana,2026-03-12,2026-03-12,Falta de Energia Booster Igaci,Equatorial," "
"12 de mar. de 2026, 14:04:38",VAA00001139,PASSO DE CAMARAGIBE,VAA,Emergencial,Falha Nas ETApas de Tratamento,"Divulgação: e-mail, whatsapp e site",Centro,12-03-2026 12:29,12-03-2026 18:00,ETA (Casal),CASAL," "
"12 de mar. de 2026, 10:13:19",BRK00003706,MACEIÓ,BRK,Emergencial,À Perfilagem / Teste de Vazão,A comunicação de paralisação emergencial foi realizada nesta data (12/03/2026),Jacintinho,11-03-2026,13-03-2026,Poço P-J 18,BRK," "
"12 de mar. de 2026, 09:48:08",ADS00000959,PALMEIRA DOS ÍNDIOS,ADS,Emergencial,Eletromecânica - Falha em CMB,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Palmeira dos Índios - Coruripe da Cal,2026-03-12,2026-03-12,Elevatória Coruripe da Cal,Águas do Sertão," "
"12 de mar. de 2026, 09:40:35",BRK00003705,ATALAIA,BRK,Emergencial,Falta de Energia Elétrica,A comunicação de paralisação emergencial foi realizada nesta data (12/03/2026),Zona Rural,12-03-2026,12-03-206,Poço At 28,EQUATORIAL," "
"12 de mar. de 2026, 09:25:35",ADS00000958,PALMEIRA DOS ÍNDIOS,ADS,Emergencial,Manutenção - Vazamento na Malha de Distribuição,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Palmeira dos Índios - Urbana,2026-03-12,2026-03-12,"Quebra de Rede de Ferro Dn 150, Ocasioando Pela Obra da Duplicação Br316",Prefeitura," "
"12 de mar. de 2026, 09:17:24",BRK00003704,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (12/03/2026),Gruta de Lourdes,12-03-2026,12-03-206,EEe R-5,BRK," "
"12 de mar. de 2026, 09:11:16",VAA00001138,CAPELA,VAA,Emergencial,Falha no Fornecimento de Energia,"Divulgação: e-mail, site e whatsapp",Toda a cidade,12-03-2026 08:40,13-03-2026 08:40,Captação (Casal),EQUATORIAL," "
"12 de mar. de 2026, 09:11:01",ADS00000957,PALMEIRA DOS ÍNDIOS,ADS,Emergencial,Manutenção - Vazamento na Malha de Distribuição,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Palmeira dos Índios - Urbana,2026-03-12,2026-03-12,Quebra de Rede Dn 100 Pvc Defofo,Prefeitura," "
"12 de mar. de 2026, 09:10:15",ADS00000956,SÃO MIGUEL DOS CAMPOS,ADS,Emergencial,Manutenção - Vazamento em Adutora,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,São Miguel dos Campos - Urbana,2026-03-12,2026-03-12,Rede de Distribuicao,Prefeitura," "
"12 de mar. de 2026, 09:09:40",ADS00000955,SÃO JOSÉ DA TAPERA,ADS,Emergencial,Manutenção - Vazamento na Malha de Distribuição,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,São José da Tapera - Urbana,2026-03-12,2026-03-13,Manutenção Rede,Prefeitura," "
"12 de mar. de 2026, 09:03:09",BRK00003703,RIO LARGO,BRK,Emergencial,Manutenção Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (12/03/2026),Jarbas Oiticica e Antônio Lins,12-03-2026,12-03-206,Captação Jarbas Oiticica,BRK," "
"12 de mar. de 2026, 09:00:37",VAA00001137,MAR VERMELHO,VAA,Emergencial,Vazamento da Rede de Distribuição/Adutora,"Divulgação: e-mail, site e whatsapp",Toda a cidade,12-03-2026 08:00,13-03-2026 08:00,Captação (Casal),CASAL," "
"12 de mar. de 2026, 08:52:03",ADS00000954,PIRANHAS,ADS,Emergencial,Manutenção - Vazamento na Malha de Distribuição,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Piranhas - Urbana,2026-03-12,2026-03-12,Pead 63mm,Águas do Sertão," "
"12 de mar. de 2026, 07:53:27",CASAL00003365,SÃO BRÁS,CASAL,Emergencial,Energia,Divulgado pela ASCOM,Feira Grande São Brás Arapiraca Campo Grande Girau do Ponciano Lagoa da Canoa,11-03-2026,12-03-2026,EEab – Morro do Gaia – Sca,EQTL," "
"12 de mar. de 2026, 07:53:07",CASAL00003364,RIO LARGO,CASAL,Emergencial,Mecanico,Divulgado pela ASCOM,,11-03-2026,,EEabc Jarbas Oiticica,BRK," "
"12 de mar. de 2026, 07:52:50",CASAL00003363,RIO LARGO,CASAL,Emergencial,Recuperacao,Divulgado pela ASCOM,,11-03-2026,,EEAT-Jarbas Oiticica,CASAL," "
"12 de mar. de 2026, 07:52:34",CASAL00003362,ANADIA,CASAL,Emergencial,Tratamento,Divulgado pela ASCOM,Anadia,02-03-2026,04-03-2026,EEabc Anadia,CASAL," "
"12 de mar. de 2026, 07:52:21",CASAL00003361,MACEIÓ,CASAL,Programada,Pedido,Divulgado pela ASCOM,Maceió,11-03-2026,,P-Mac-Jac-18,BRK," "
"12 de mar. de 2026, 07:52:08",CASAL00003360,ANADIA,CASAL,Emergencial,Mecanico,Divulgado pela ASCOM,Anadia,11-03-2026,,EEabc Anadia,CASAL," "
"12 de mar. de 2026, 04:54:23",BRK00003702,MARECHAL DEODORO,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (12/03/2026),"FRANCÊS, MALHADAS e LUAR DO FRANCÊS E MUCURI",11-03-2026,12-03-2026,Poços Francês e Mucuri,BRK," "
"11 de mar. de 2026, 21:47:49",BRK00003701,MARECHAL DEODORO,BRK,Emergencial,Limpeza do Reservatório,A comunicação de paralisação emergencial foi realizada nesta data (11/03/2026),Santa Rita e Massagueira e Barra Nova,11-03-2026,12-03-2026,Elevatória Volta D'Água e Bica da Pedra,BRK," "
"11 de mar. de 2026, 19:47:47",BRK00003700,MACEIÓ,BRK,Emergencial,À Perfilagem / Teste de Vazão,A comunicação de paralisação emergencial foi realizada nesta data (11/03/2026),Jacintinho,11-03-2026,12-03-206,Poço P-J 18,BRK," "
"11 de mar. de 2026, 17:52:42",BRK00003699,MARECHAL DEODORO,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (11/03/2026),LUAR DO FRANCÊS e MUCURI E FRANCÊS,11-03-2026,12-03-2026,Poços Francês e Mucuri,BRK," "
"11 de mar. de 2026, 17:38:55",VAA00001136,ANADIA,VAA,Emergencial,Falha Eletromecânica,"Nota publicada no site da Verde Alagoas, grupos de whatsapp e e-mail",Toda a cidade de Anadia.,11-03-2026 13:00,12-03-2026 13:00,Captação (Casal),CASAL," "
"11 de mar. de 2026, 17:38:22",VAA00001134,MARIBONDO,VAA,Emergencial,Falha Eletromecânica,"Nota publicada no site da Verde Alagoas, grupos de whatsapp e e-mail",Toda a cidade de Maribondo,11-03-2026 13:00,12-03-2026 13:00,Captação (Casal),CASAL," "
"11 de mar. de 2026, 17:38:22",VAA00001135,TAQUARANA,VAA,Emergencial,Vazamento da Rede de Distribuição/Adutora,"Nota publicada no site da Verde Alagoas, grupos de whatsapp e e-mail",Serra Da Santa Cruz.,11-03-2026 09:30,11-03-2026 17:00,Distribuição,VERDE ALAGOAS," "
"11 de mar. de 2026, 17:05:54",BRK00003698,MARECHAL DEODORO,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (11/03/2026),Pov. Tuquanduba,11-03-2026,11-03-2026,Poço Md 16 e 37,BRK," "
"11 de mar. de 2026, 16:09:00",BRK00003697,RIO LARGO,BRK,Emergencial,Manutenção Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (11/03/2026),Jarbas Oiticica e Antônio Lins,11-03-2026,11-03-2026,Captação Jarbas Oiticica,BRK," "
"11 de mar. de 2026, 16:03:28",ADS00000953,DELMIRO GOUVEIA,ADS,Emergencial,Eletromecânica - Queda de Energia,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,"Delmiro Gouveia - Urbana, Delmiro Gouveia - Salgado e Delmiro Gouveia - Rabeca",2026-03-11,2026-03-11,Estação Elevatória de Água Tratada EE-03,Equatorial," "
"11 de mar. de 2026, 15:46:42",BRK00003696,MACEIÓ,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (11/03/2026),Clima Bom e Rosane Collor,21-02-2026,14-03-2026,Poço P-Rc 02,CASAL," "
"11 de mar. de 2026, 15:45:25",BRK00003695,BARRA DE SANTO ANTÔNIO,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (11/03/2026),Ilha da Croa,11-03-2026,11-03-2026,Reservatório Bsa 02,BRK," "
"11 de mar. de 2026, 15:43:38",BRK00003694,BARRA DE SANTO ANTÔNIO,BRK,Emergencial,Manutenção de Rede de Água,A comunicação de paralisação emergencial foi realizada nesta data (11/03/2026),Ilha da Croa,11-03-2026,11-03-2026,Poço Bsa 06,BRK," "
"11 de mar. de 2026, 14:59:49",ADS00000952,PÃO DE AÇÚCAR,ADS,Programada,Limpeza de Reservatório,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Pão de Açúcar - Urbana,2026-03-25,2026-03-25,Limpeza Rap Nova Alvorada,Águas do Sertão," "
"11 de mar. de 2026, 14:58:10",BRK00003693,MARECHAL DEODORO,BRK,Programada,Instalação de Macromedidor,A comunicação foi realizada nesta data   11/03/2026,BARRA NOVA,19-03-2026,19-03-2026,P-Md 04,BRK Fábio Luiz Jr. Perdas – Engenharia BRK RMM BRK Ambiental Participações S.A. [Uma imagem contendo Ícone  Descrição gerada automaticamente]," "
"11 de mar. de 2026, 14:57:30",BRK00003692,MARECHAL DEODORO,BRK,Programada,Instalação de Macromedidor,A comunicação foi realizada nesta data   11/03/2026,BARRA NOVA,19-03-2026,19-03-2026,P-Md 03,BRK Fábio Luiz Jr. Perdas – Engenharia BRK RMM BRK Ambiental Participações S.A. [Uma imagem contendo Ícone  Descrição gerada automaticamente]," "
"11 de mar. de 2026, 14:55:53",ADS00000951,PÃO DE AÇÚCAR,ADS,Programada,Limpeza de Reservatório,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Pão de Açúcar - Urbana,2026-03-18,2026-03-18,Limpeza Rap Torre de Babel,Águas do Sertão," "
"11 de mar. de 2026, 13:14:33",BRK00003691,RIO LARGO,BRK,Emergencial,Recuperação de Nível do Reservatório,A comunicação de paralisação emergencial foi realizada nesta data (11/03/2026),Jarbas Oiticica e Antônio Lins,11-03-2026,11-03-2026,ETA Jarbas Oiticica,CASAL," "
"11 de mar. de 2026, 12:22:14",BRK00003689,PILAR - AL,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (11/03/2026),CONJUNTO HABITACIONAL PADRE ERNESTO,30-03-2026,30-03-2026,Rese-Pi-20,BRK Ambiental RMM," "
"11 de mar. de 2026, 12:22:09",BRK00003690,PILAR - AL,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (11/03/2026),CONJUNTO HABITACIONAL CABO BENEDITO.,30-03-2026,30-03-2026,Rese-Pi-13,BRK Ambiental RMM," "
"11 de mar. de 2026, 12:22:04",BRK00003688,PILAR - AL,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (11/03/2026),CONJUNTO JORGE BARROS e CONJUNTO SAMBALANGA,25-03-2026,25-03-2026,Rese-Pi-18,BRK Ambiental RMM," "
"11 de mar. de 2026, 12:21:59",BRK00003687,PILAR - AL,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (11/03/2026),ALTO DO CRUZEIRO (JORGE BARROS) e CONJUNTO SAMBALANGA,25-03-2026,25-03-2026,Rese-Pi-17,BRK Ambiental RMM," "
"11 de mar. de 2026, 12:21:53",BRK00003686,MESSIAS - AL,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (11/03/2026),JARBAS MAYA,24-03-2026,24-03-2026,Rese-Me-01-02,BRK Ambiental RMM," "
"11 de mar. de 2026, 12:21:47",BRK00003685,MARECHAL DEODORO - AL,BRK,Programada,Limpeza de Reservatório,A COMUNICAÇÃO DA PARALISAÇÃO FOI REALIZADA NESTA DATA (11/03/2026),"CENTRO, CARMO, POVOADO PEDRAS, LOT. EL DOURADO, BARRO VERMELHO, PORTO GRANDE, TAPERAGUÁ, CONJUNTO JOSÉ DIAS, BAIXA DA SAPA, LOT. TERRA DOS MARECHAIS, LOT. VELEIROS DO FRANCÊS e TUQUANDUBA.",23-03-2026,23-03-2026,Rese-Md-02,BRK Ambiental RMM," "
"11 de mar. de 2026, 11:33:55",BRK00003684,MARECHAL DEODORO,BRK,Emergencial,Limpeza do Reservatório,A comunicação de paralisação emergencial foi realizada nesta data (11/03/2026),Santa Rita e Massagueira e Barra Nova,11-03-2026,11-03-2026,Elevatória Volta D'Água e Bica da Pedra,BRK," "
"11 de mar. de 2026, 11:31:12",BRK00003683,RIO LARGO,BRK,Emergencial,Recuperação de Nível do Reservatório,A comunicação de paralisação emergencial foi realizada nesta data (11/03/2026),Jarbas Oiticica e Antônio Lins,11-03-2026,11-03-2026,Captação Jarbas Oiticica,CASAL," "
"11 de mar. de 2026, 11:29:38",BRK00003682,MARECHAL DEODORO,BRK,Emergencial,Falha Eletromecânica,A comunicação de paralisação emergencial foi realizada nesta data (11/03/2026),"Centro, Poeira, Taperagua, Porto Grande, Povoado de Pedras, Barro Vermelho, Cajueiro, Veleiros do Frances, Sonho de Icaro, Jose dias, Wisk Wisk, Terra dos Marechais e Loteamento  Nova Marechal",11-03-2026,11-03-2026,ETA Estiva,BRK," "
"11 de mar. de 2026, 11:06:05",ADS00000950,PENEDO,ADS,Programada,Eletromecânica - Manutenção,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Penedo - Urbana,2026-03-18,2026-03-18,Captação Rocheira,Águas do Sertão," "
"11 de mar. de 2026, 10:54:56",VAA00001133,IBATEGUARA,VAA,Emergencial,Falha Eletromecânica,"Nota publicada no site da Verde Alagoas, grupos de whatsapp e e-mail",Todo o municipio de Canastra.,11-03-2026 14:00,11-03-2026 16:40,ETA Canastra,VERDE ALAGOAS," "
"11 de mar. de 2026, 10:54:56",VAA00001132,MAR VERMELHO,VAA,Emergencial,Vazamento da Rede de Distribuição/Adutora,"Nota publicada no site da Verde Alagoas, grupos de whatsapp e e-mail",Rua Deputado Edson Lins e Rua José Emiliano de Araújo,11-03-2026 07:15,11-03-2026 12:00,Distribuição,VERDE ALAGOAS," "
"11 de mar. de 2026, 10:20:51",ADS00000949,PALMEIRA DOS ÍNDIOS,ADS,Programada,Limpeza de Reservatório,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Palmeira dos Índios - Urbana,2026-11-06,2026-11-06,Reservatório- R5,Águas do Sertão," "
"11 de mar. de 2026, 10:03:09",ADS00000948,QUEBRANGULO,ADS,Programada,Limpeza de Reservatório,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Quebrangulo - Urbana,2026-09-11,2026-09-11,Reservatório Geraldo Passos (Apoiado e Elevado,Águas do Sertão," "
"11 de mar. de 2026, 10:01:06",ADS00000947,QUEBRANGULO,ADS,Programada,Limpeza de Reservatório,No ato ou cinco dias de antecedência ou no relatório técnico das comprovações de serviços,Quebrangulo - Urbana,2027-05-14,2027-05-14,Reservatório Geraldo Passos (Apoiado e Elevado),Águas do Sertão," "
"11 de mar. de 2026, 09:02:09",CASAL00003359,RIO LARGO,CASAL,Emergencial,Recuperacao,Divulgado pela ASCOM,,11-03-2026,,EEAT-Jarbas Oiticica,CASAL," "
"11 de mar. de 2026, 09:01:54",CASAL00003358,RIO LARGO,CASAL,Emergencial,Recuperacao,Divulgado pela ASCOM,Rio Largo,11-03-2026,11-03-2026,EEAT-Jarbas Oiticica,CASAL," "
"11 de mar. de 2026, 09:00:25",CASAL00003357,MACEIÓ,CASAL,Emergencial,Pedido,Divulgado pela ASCOM,,11-03-2026,11-03-2026,EEAT Benedito Bentes,BRK," "
